Unnamed: 0,순위,지역,년도,성별,이름,비율,건수
140,15,울산광역시,2008,남성,재원,재원(4.14%),36
141,15,울산광역시,2008,남성,준우,준우(4.14%),36
142,17,울산광역시,2008,남성,승민,승민(4.02%),35
143,18,울산광역시,2008,남성,현우,현우(3.91%),34
144,19,울산광역시,2008,남성,경민,경민(3.79%),33
145,19,울산광역시,2008,남성,지민,지민(3.79%),33
146,20,울산광역시,2008,남성,기타,기타(85.23%),"5,020"
147,1,경기도,2008,남성,민준,민준(8.02%),679
148,2,경기도,2008,남성,지훈,지훈(6.26%),530
149,3,경기도,2008,남성,준서,준서(6.05%),512
150,4,경기도,2008,남성,현우,현우(5.89%),499
151,5,경기도,2008,남성,우진,우진(5.80%),491
152,6,경기도,2008,남성,예준,예준(5.59%),473
153,7,경기도,2008,남성,도현,도현(5.42%),459
154,8,경기도,2008,남성,건우,건우(5.00%),423
155,8,경기도,2008,남성,서준,서준(5.00%),423
156,10,경기도,2008,남성,현준,현준(4.96%),420
157,11,경기도,2008,남성,준혁,준혁(4.77%),404
158,12,경기도,2008,남성,시우,시우(4.51%),382
159,13,경기도,2008,남성,동현,동현(4.44%),376
160,14,경기도,2008,남성,서진,서진(4.28%),362
161,15,경기도,2008,남성,승민,승민(4.19%),355
162,15,경기도,2008,남성,승현,승현(4.19%),355
163,17,경기도,2008,남성,민재,민재(4.11%),348
164,18,경기도,2008,남성,지후,지후(4.10%),347
165,19,경기도,2008,남성,지호,지호(3.71%),314
166,20,경기도,2008,남성,지환,지환(3.70%),313
167,21,경기도,2008,남성,기타,기타(85.98%),"51,916"
168,1,강원도,2008,남성,민준,민준(6.26%),46
169,1,강원도,2008,남성,현준,현준(6.26%),46
170,3,강원도,2008,남성,건우,건우(6.12%),45
171,4,강원도,2008,남성,예준,예준(5.99%),44
172,5,강원도,2008,남성,도현,도현(5.71%),42
173,6,강원도,2008,남성,우진,우진(5.44%),40
174,6,강원도,2008,남성,준서,준서(5.44%),40
175,8,강원도,2008,남성,동현,동현(5.17%),38
176,8,강원도,2008,남성,시우,시우(5.17%),38
177,10,강원도,2008,남성,준우,준우(4.76%),35
178,10,강원도,2008,남성,현우,현우(4.76%),35
179,12,강원도,2008,남성,준혁,준혁(4.63%),34
180,13,강원도,2008,남성,승민,승민(4.49%),33
181,13,강원도,2008,남성,승현,승현(4.49%),33
182,13,강원도,2008,남성,지훈,지훈(4.49%),33
183,13,강원도,2008,남성,태훈,태훈(4.49%),33
184,17,강원도,2008,남성,민규,민규(4.22%),31
185,18,강원도,2008,남성,서준,서준(4.08%),30
186,18,강원도,2008,남성,성현,성현(4.08%),30
187,20,강원도,2008,남성,준영,준영(3.95%),29
188,21,강원도,2008,남성,기타,기타(88.57%),"5,698"
189,1,충청북도,2008,남성,민준,민준(8.08%),77
190,2,충청북도,2008,남성,지훈,지훈(6.93%),66
191,3,충청북도,2008,남성,건우,건우(5.46%),52
192,3,충청북도,2008,남성,승현,승현(5.46%),52
193,3,충청북도,2008,남성,현우,현우(5.46%),52
194,6,충청북도,2008,남성,준혁,준혁(5.35%),51
195,7,충청북도,2008,남성,현준,현준(5.25%),50
196,8,충청북도,2008,남성,서준,서준(5.14%),49
197,9,충청북도,2008,남성,준우,준우(5.04%),48
198,10,충청북도,2008,남성,동현,동현(4.83%),46
199,10,충청북도,2008,남성,우진,우진(4.83%),46
200,12,충청북도,2008,남성,도현,도현(4.72%),45
201,13,충청북도,2008,남성,민석,민석(4.41%),42
202,13,충청북도,2008,남성,민성,민성(4.41%),42
203,13,충청북도,2008,남성,준서,준서(4.41%),42
204,16,충청북도,2008,남성,성민,성민(4.20%),40
205,16,충청북도,2008,남성,승민,승민(4.20%),40
206,18,충청북도,2008,남성,규민,규민(3.99%),38
207,18,충청북도,2008,남성,성현,성현(3.99%),38
208,20,충청북도,2008,남성,민재,민재(3.88%),37
209,21,충청북도,2008,남성,기타,기타(87.28%),"6,538"
210,1,충청남도,2008,남성,민준,민준(7.30%),91
211,2,충청남도,2008,남성,지훈,지훈(7.14%),89
212,3,충청남도,2008,남성,건우,건우(6.42%),80
213,4,충청남도,2008,남성,우진,우진(6.34%),79
214,5,충청남도,2008,남성,현준,현준(5.69%),71
215,6,충청남도,2008,남성,현우,현우(5.45%),68
216,7,충청남도,2008,남성,동현,동현(5.05%),63
217,8,충청남도,2008,남성,도현,도현(4.89%),61
218,8,충청남도,2008,남성,승현,승현(4.89%),61
219,8,충청남도,2008,남성,준서,준서(4.89%),61
220,11,충청남도,2008,남성,성현,성현(4.41%),55
221,11,충청남도,2008,남성,준혁,준혁(4.41%),55
222,11,충청남도,2008,남성,지호,지호(4.41%),55
223,14,충청남도,2008,남성,시우,시우(4.33%),54
224,15,충청남도,2008,남성,민성,민성(4.25%),53
225,15,충청남도,2008,남성,서준,서준(4.25%),53
226,17,충청남도,2008,남성,예준,예준(4.09%),51
227,18,충청남도,2008,남성,은찬,은찬(4.01%),50
228,19,충청남도,2008,남성,태현,태현(3.93%),49
229,20,충청남도,2008,남성,승민,승민(3.85%),48
230,21,충청남도,2008,남성,기타,기타(87.97%),"9,118"
231,1,전라북도,2008,남성,민준,민준(7.14%),78
232,2,전라북도,2008,남성,지훈,지훈(7.04%),77
233,3,전라북도,2008,남성,현우,현우(6.77%),74
234,4,전라북도,2008,남성,건우,건우(6.22%),68
235,5,전라북도,2008,남성,현준,현준(5.95%),65
236,6,전라북도,2008,남성,승현,승현(5.58%),61
237,7,전라북도,2008,남성,동현,동현(5.22%),57
238,7,전라북도,2008,남성,우진,우진(5.22%),57
239,9,전라북도,2008,남성,승민,승민(5.03%),55
240,10,전라북도,2008,남성,도현,도현(4.85%),53
241,11,전라북도,2008,남성,예준,예준(4.57%),50
242,12,전라북도,2008,남성,성현,성현(4.48%),49
243,13,전라북도,2008,남성,민성,민성(4.39%),48
244,14,전라북도,2008,남성,은찬,은찬(4.30%),47
245,15,전라북도,2008,남성,지민,지민(4.21%),46
246,16,전라북도,2008,남성,진우,진우(3.93%),43
247,17,전라북도,2008,남성,서준,서준(3.84%),42
248,18,전라북도,2008,남성,민호,민호(3.75%),41
249,18,전라북도,2008,남성,준서,준서(3.75%),41
250,18,전라북도,2008,남성,한결,한결(3.75%),41
251,19,전라북도,2008,남성,기타,기타(87.17%),"7,428"
252,1,전라남도,2008,남성,민준,민준(7.62%),85
253,2,전라남도,2008,남성,현우,현우(6.54%),73
254,3,전라남도,2008,남성,예준,예준(6.09%),68
255,4,전라남도,2008,남성,준서,준서(6.00%),67
256,5,전라남도,2008,남성,준혁,준혁(5.73%),64
257,6,전라남도,2008,남성,민성,민성(5.56%),62
258,7,전라남도,2008,남성,건우,건우(5.02%),56
259,8,전라남도,2008,남성,승민,승민(4.84%),54
260,8,전라남도,2008,남성,한결,한결(4.84%),54
261,10,전라남도,2008,남성,시우,시우(4.75%),53
262,11,전라남도,2008,남성,민혁,민혁(4.48%),50
263,11,전라남도,2008,남성,우진,우진(4.48%),50
264,11,전라남도,2008,남성,현준,현준(4.48%),50
265,14,전라남도,2008,남성,은찬,은찬(4.39%),49
266,14,전라남도,2008,남성,준영,준영(4.39%),49
267,16,전라남도,2008,남성,민재,민재(4.30%),48
268,16,전라남도,2008,남성,승현,승현(4.30%),48
269,18,전라남도,2008,남성,지성,지성(4.12%),46
270,18,전라남도,2008,남성,지훈,지훈(4.12%),46
271,20,전라남도,2008,남성,정우,정우(3.94%),44
272,21,전라남도,2008,남성,기타,기타(87.40%),"7,738"
273,1,경상북도,2008,남성,민준,민준(8.06%),138
274,2,경상북도,2008,남성,지훈,지훈(6.89%),118
275,3,경상북도,2008,남성,동현,동현(6.42%),110
276,4,경상북도,2008,남성,현우,현우(6.25%),107
277,5,경상북도,2008,남성,도현,도현(5.20%),89
278,6,경상북도,2008,남성,승민,승민(5.08%),87
279,7,경상북도,2008,남성,준서,준서(4.96%),85
280,8,경상북도,2008,남성,현준,현준(4.85%),83
281,9,경상북도,2008,남성,건우,건우(4.79%),82
282,9,경상북도,2008,남성,민성,민성(4.79%),82
283,9,경상북도,2008,남성,예준,예준(4.79%),82
284,12,경상북도,2008,남성,민재,민재(4.73%),81
285,13,경상북도,2008,남성,우진,우진(4.67%),80
286,14,경상북도,2008,남성,승현,승현(4.55%),78
287,15,경상북도,2008,남성,준영,준영(4.26%),73
288,16,경상북도,2008,남성,민규,민규(4.14%),71
289,17,경상북도,2008,남성,준혁,준혁(4.09%),70
290,18,경상북도,2008,남성,민혁,민혁(3.91%),67
291,18,경상북도,2008,남성,성민,성민(3.91%),67
292,20,경상북도,2008,남성,도윤,도윤(3.68%),63
293,21,경상북도,2008,남성,기타,기타(86.80%),"11,269"
294,1,경상남도,2008,남성,민준,민준(9.45%),236
295,2,경상남도,2008,남성,준서,준서(6.93%),173
296,3,경상남도,2008,남성,지훈,지훈(6.61%),165
297,4,경상남도,2008,남성,우진,우진(6.04%),151
298,5,경상남도,2008,남성,동현,동현(5.32%),133
299,5,경상남도,2008,남성,현우,현우(5.32%),133
300,7,경상남도,2008,남성,민성,민성(5.20%),130
301,8,경상남도,2008,남성,민재,민재(5.04%),126
302,9,경상남도,2008,남성,현준,현준(5.00%),125
303,10,경상남도,2008,남성,준영,준영(4.92%),123
304,11,경상남도,2008,남성,준혁,준혁(4.68%),117
305,12,경상남도,2008,남성,건우,건우(4.52%),113
306,13,경상남도,2008,남성,승현,승현(4.44%),111
307,14,경상남도,2008,남성,도현,도현(4.00%),100
308,14,경상남도,2008,남성,성민,성민(4.00%),100
309,16,경상남도,2008,남성,예준,예준(3.96%),99
310,16,경상남도,2008,남성,지원,지원(3.96%),99
311,18,경상남도,2008,남성,승민,승민(3.80%),95
312,19,경상남도,2008,남성,민규,민규(3.44%),86
313,20,경상남도,2008,남성,지환,지환(3.32%),83
314,21,경상남도,2008,남성,기타,기타(85.10%),"14,272"
315,1,제주특별자치도,2008,남성,~99,~99(20.65%),121
316,2,제주특별자치도,2008,남성,지환,지환(7.17%),42
317,3,제주특별자치도,2008,남성,지훈,지훈(6.31%),37
318,4,제주특별자치도,2008,남성,준혁,준혁(6.14%),36
319,5,제주특별자치도,2008,남성,강민,강민(5.12%),30
320,5,제주특별자치도,2008,남성,지후,지후(5.12%),30
321,7,제주특별자치도,2008,남성,승현,승현(4.95%),29
322,8,제주특별자치도,2008,남성,민혁,민혁(4.78%),28
323,9,제주특별자치도,2008,남성,지혁,지혁(4.61%),27
324,10,제주특별자치도,2008,남성,현우,현우(3.92%),23
325,11,제주특별자치도,2008,남성,성현,성현(3.75%),22
326,12,제주특별자치도,2008,남성,준서,준서(3.41%),20
327,12,제주특별자치도,2008,남성,지원,지원(3.41%),20
328,14,제주특별자치도,2008,남성,민석,민석(3.24%),19
329,15,제주특별자치도,2008,남성,민건,민건(3.07%),18
330,15,제주특별자치도,2008,남성,민규,민규(3.07%),18
331,17,제주특별자치도,2008,남성,건우,건우(2.90%),17
332,17,제주특별자치도,2008,남성,지성,지성(2.90%),17
333,19,제주특별자치도,2008,남성,재혁,재혁(2.73%),16
334,19,제주특별자치도,2008,남성,재현,재현(2.73%),16
335,20,제주특별자치도,2008,남성,기타,기타(82.31%),"2,727"
0,1,서울특별시,2009,남성,서연,서연(7.38%),813
1,2,서울특별시,2009,남성,지우,지우(7.15%),788
2,3,서울특별시,2009,남성,민서,민서(6.84%),753
3,4,서울특별시,2009,남성,지민,지민(6.10%),672
4,5,서울특별시,2009,남성,지후,지후(5.97%),658
5,6,서울특별시,2009,남성,민준,민준(5.82%),641
6,7,서울특별시,2009,남성,서윤,서윤(5.61%),618
7,8,서울특별시,2009,남성,서현,서현(5.49%),605
8,9,서울특별시,2009,남성,윤서,윤서(4.83%),532
9,10,서울특별시,2009,남성,지원,지원(4.78%),527
10,11,서울특별시,2009,남성,하은,하은(4.30%),474
11,12,서울특별시,2009,남성,서진,서진(4.25%),468
12,13,서울특별시,2009,남성,예준,예준(4.03%),444
13,14,서울특별시,2009,남성,시우,시우(4.00%),441
14,15,서울특별시,2009,남성,준서,준서(3.98%),438
15,16,서울특별시,2009,남성,지호,지호(3.92%),432
16,17,서울특별시,2009,남성,예원,예원(3.90%),430
17,18,서울특별시,2009,남성,수빈,수빈(3.89%),428
18,19,서울특별시,2009,남성,연우,연우(3.88%),427
19,20,서울특별시,2009,남성,수민,수민(3.87%),426
20,21,서울특별시,2009,남성,기타,기타(88.06%),"81,261"
21,1,부산광역시,2009,남성,민서,민서(7.37%),237
22,2,부산광역시,2009,남성,지민,지민(6.63%),213
23,3,부산광역시,2009,남성,민준,민준(6.44%),207
24,4,부산광역시,2009,남성,지원,지원(6.13%),197
25,5,부산광역시,2009,남성,지우,지우(5.76%),185
26,6,부산광역시,2009,남성,서현,서현(5.38%),173
27,7,부산광역시,2009,남성,지후,지후(5.29%),170
28,8,부산광역시,2009,남성,수빈,수빈(5.07%),163
29,9,부산광역시,2009,남성,서윤,서윤(4.70%),151
30,9,부산광역시,2009,남성,지윤,지윤(4.70%),151
31,11,부산광역시,2009,남성,지훈,지훈(4.54%),146
32,12,부산광역시,2009,남성,서연,서연(4.48%),144
33,12,부산광역시,2009,남성,수민,수민(4.48%),144
34,14,부산광역시,2009,남성,윤서,윤서(4.32%),139
35,15,부산광역시,2009,남성,채원,채원(4.20%),135
36,16,부산광역시,2009,남성,예원,예원(4.14%),133
37,17,부산광역시,2009,남성,민성,민성(4.11%),132
38,17,부산광역시,2009,남성,민지,민지(4.11%),132
39,19,부산광역시,2009,남성,민재,민재(4.08%),131
40,19,부산광역시,2009,남성,현우,현우(4.08%),131
41,20,부산광역시,2009,남성,기타,기타(87.83%),"23,197"
42,1,대구광역시,2009,남성,민서,민서(7.95%),200
43,2,대구광역시,2009,남성,민준,민준(6.84%),172
44,3,대구광역시,2009,남성,수빈,수빈(5.92%),149
45,3,대구광역시,2009,남성,지민,지민(5.92%),149
46,5,대구광역시,2009,남성,지윤,지윤(5.77%),145
47,6,대구광역시,2009,남성,수민,수민(5.45%),137
48,7,대구광역시,2009,남성,서윤,서윤(5.37%),135
49,8,대구광역시,2009,남성,서현,서현(5.13%),129
50,9,대구광역시,2009,남성,지우,지우(5.05%),127
51,10,대구광역시,2009,남성,서연,서연(5.01%),126
52,11,대구광역시,2009,남성,지훈,지훈(4.93%),124
53,12,대구광역시,2009,남성,지원,지원(4.73%),119
54,13,대구광역시,2009,남성,준서,준서(4.41%),111
55,14,대구광역시,2009,남성,동현,동현(4.14%),104
56,15,대구광역시,2009,남성,민재,민재(3.94%),99
57,15,대구광역시,2009,남성,승현,승현(3.94%),99
58,15,대구광역시,2009,남성,지후,지후(3.94%),99
59,18,대구광역시,2009,남성,민지,민지(3.90%),98
60,19,대구광역시,2009,남성,도현,도현(3.86%),97
61,20,대구광역시,2009,남성,채원,채원(3.82%),96
62,21,대구광역시,2009,남성,기타,기타(87.44%),"17,501"
63,1,인천광역시,2009,남성,서연,서연(8.69%),251
64,2,인천광역시,2009,남성,지민,지민(7.03%),203
65,3,인천광역시,2009,남성,민서,민서(6.61%),191
66,4,인천광역시,2009,남성,지우,지우(6.44%),186
67,5,인천광역시,2009,남성,하은,하은(5.99%),173
68,6,인천광역시,2009,남성,서현,서현(5.85%),169
69,7,인천광역시,2009,남성,지후,지후(5.37%),155
70,8,인천광역시,2009,남성,민준,민준(5.26%),152
71,9,인천광역시,2009,남성,서윤,서윤(4.71%),136
72,10,인천광역시,2009,남성,시우,시우(4.61%),133
73,11,인천광역시,2009,남성,윤서,윤서(4.19%),121
74,12,인천광역시,2009,남성,현서,현서(4.16%),120
75,13,인천광역시,2009,남성,연우,연우(4.09%),118
76,14,인천광역시,2009,남성,소율,소율(4.02%),116
77,14,인천광역시,2009,남성,수빈,수빈(4.02%),116
78,16,인천광역시,2009,남성,지원,지원(3.88%),112
79,16,인천광역시,2009,남성,채원,채원(3.88%),112
80,18,인천광역시,2009,남성,수민,수민(3.77%),109
81,19,인천광역시,2009,남성,현우,현우(3.74%),108
82,20,인천광역시,2009,남성,예은,예은(3.70%),107
83,21,인천광역시,2009,남성,기타,기타(88.26%),"21,702"
84,1,광주광역시,2009,남성,지우,지우(8.25%),122
85,2,광주광역시,2009,남성,지민,지민(6.83%),101
86,3,광주광역시,2009,남성,민서,민서(6.02%),89
87,3,광주광역시,2009,남성,현서,현서(6.02%),89
88,5,광주광역시,2009,남성,민준,민준(5.68%),84
89,6,광주광역시,2009,남성,하은,하은(5.48%),81
90,7,광주광역시,2009,남성,지후,지후(5.34%),79
91,8,광주광역시,2009,남성,서연,서연(5.21%),77
92,9,광주광역시,2009,남성,은서,은서(5.14%),76
93,10,광주광역시,2009,남성,현우,현우(5.00%),74
94,11,광주광역시,2009,남성,예은,예은(4.73%),70
95,12,광주광역시,2009,남성,지원,지원(4.67%),69
96,13,광주광역시,2009,남성,건우,건우(4.39%),65
97,14,광주광역시,2009,남성,연우,연우(4.19%),62
98,15,광주광역시,2009,남성,서현,서현(4.06%),60
99,16,광주광역시,2009,남성,가은,가은(3.99%),59
100,16,광주광역시,2009,남성,수빈,수빈(3.99%),59
101,18,광주광역시,2009,남성,지호,지호(3.79%),56
102,19,광주광역시,2009,남성,윤서,윤서(3.72%),55
103,20,광주광역시,2009,남성,수연,수연(3.52%),52
104,21,광주광역시,2009,남성,기타,기타(89.05%),"12,028"
105,1,대전광역시,2009,남성,서연,서연(7.18%),111
106,2,대전광역시,2009,남성,지우,지우(6.79%),105
107,3,대전광역시,2009,남성,민서,민서(6.46%),100
108,4,대전광역시,2009,남성,서현,서현(6.27%),97
109,5,대전광역시,2009,남성,지민,지민(6.01%),93
110,6,대전광역시,2009,남성,민준,민준(5.75%),89
111,7,대전광역시,2009,남성,서윤,서윤(4.91%),76
112,7,대전광역시,2009,남성,지원,지원(4.91%),76
113,9,대전광역시,2009,남성,예은,예은(4.65%),72
114,10,대전광역시,2009,남성,지훈,지훈(4.52%),70
115,11,대전광역시,2009,남성,윤서,윤서(4.46%),69
116,12,대전광역시,2009,남성,수빈,수빈(4.40%),68
117,12,대전광역시,2009,남성,하은,하은(4.40%),68
118,14,대전광역시,2009,남성,시우,시우(4.33%),67
119,14,대전광역시,2009,남성,은서,은서(4.33%),67
120,16,대전광역시,2009,남성,지후,지후(4.27%),66
121,17,대전광역시,2009,남성,지호,지호(4.20%),65
122,18,대전광역시,2009,남성,서진,서진(4.14%),64
123,18,대전광역시,2009,남성,수민,수민(4.14%),64
124,20,대전광역시,2009,남성,지윤,지윤(3.88%),60
125,21,대전광역시,2009,남성,기타,기타(89.01%),"12,529"
126,1,울산광역시,2009,남성,민서,민서(7.67%),106
127,2,울산광역시,2009,남성,서현,서현(7.31%),101
128,3,울산광역시,2009,남성,지민,지민(7.24%),100
129,4,울산광역시,2009,남성,민준,민준(6.87%),95
130,5,울산광역시,2009,남성,지우,지우(6.15%),85
131,6,울산광역시,2009,남성,서연,서연(5.21%),72
132,7,울산광역시,2009,남성,민지,민지(4.85%),67
133,8,울산광역시,2009,남성,서영,서영(4.70%),65
134,9,울산광역시,2009,남성,현서,현서(4.56%),63
135,10,울산광역시,2009,남성,지윤,지윤(4.41%),61
136,11,울산광역시,2009,남성,예진,예진(4.34%),60
137,11,울산광역시,2009,남성,지훈,지훈(4.34%),60
138,13,울산광역시,2009,남성,예원,예원(4.20%),58
139,14,울산광역시,2009,남성,동현,동현(4.12%),57
140,15,울산광역시,2009,남성,수빈,수빈(4.05%),56
141,15,울산광역시,2009,남성,예은,예은(4.05%),56
